in s,C2 in V
-2.590312E-04,1.87012E+00
-2.590280E-04,1.86035E+00
-2.590248E-04,1.82129E+00
-2.590216E-04,1.82129E+00
-2.590184E-04,1.83105E+00
-2.590152E-04,1.83105E+00
-2.590120E-04,1.84082E+00
-2.590088E-04,1.83105E+00
-2.590056E-04,1.81152E+00
-2.590024E-04,1.82129E+00
-2.589992E-04,1.79199E+00
-2.589960E-04,1.85059E+00
-2.589928E-04,1.83105E+00
-2.589896E-04,1.83105E+00
-2.589864E-04,1.83105E+00
-2.589832E-04,1.82129E+00
-2.589800E-04,1.81152E+00
-2.589768E-04,1.84082E+00
-2.589736E-04,1.81152E+00
-2.589704E-04,1.82129E+00
-2.589672E-04,1.82129E+00
-2.589640E-04,1.86035E+00
-2.589608E-04,1.84082E+00
-2.589576E-04,1.85059E+00
-2.589544E-04,1.81152E+00
-2.589512E-04,1.80176E+00
-2.589480E-04,1.82129E+00
-2.589448E-04,1.83105E+00
-2.589416E-04,1.79199E+00
-2.589384E-04,1.79199E+00
-2.589352E-04,1.80176E+00
-2.589320E-04,1.80176E+00
-2.589288E-04,1.81152E+00
-2.589256E-04,1.82129E+00
-2.589224E-04,1.85059E+00
-2.589192E-04,1.81152E+00
-2.589160E-04,1.83105E+00
-2.589128E-04,1.83105E+00
-2.589096E-04,1.84082E+00
-2.589064E-04,1.85059E+00
-2.589032E-04,1.83105E+00
-2.589000E-04,1.81152E+00
-2.588968E-04,1.82129E+00
-2.588936E-04,1.83105E+00
-2.588904E-04,1.86035E+00
-2.588872E-04,1.86035E+00
-2.588840E-04,1.80176E+00
-2.588808E-04,1.84082E+00
-2.588776E-04,1.78223E+00
-2.588744E-04,1.82129E+00
-2.588712E-04,1.80176E+00
-2.588680E-04,1.80176E+00
-2.588648E-04,1.78223E+00
-2.588616E-04,1.83105E+00
-2.588584E-04,1.86035E+00
-2.588552E-04,1.81152E+00
-2.588520E-04,1.82129E+00
-2.588488E-04,1.83105E+00
-2.588456E-04,1.85059E+00
-2.588424E-04,1.87012E+00
-2.588392E-04,1.80176E+00
-2.588360E-04,1.83105E+00
-2.588328E-04,1.80176E+00
-2.588296E-04,1.84082E+00
-2.588264E-04,1.83105E+00
-2.588232E-04,1.83105E+00
-2.588200E-04,1.79199E+00
-2.588168E-04,1.80176E+00
-2.588136E-04,1.83105E+00
-2.588104E-04,1.82129E+00
-2.588072E-04,1.83105E+00
-2.588040E-04,1.85059E+00
-2.588008E-04,1.83105E+00
-2.587976E-04,1.83105E+00
-2.587944E-04,1.81152E+00
-2.587912E-04,1.83105E+00
-2.587880E-04,1.86035E+00
-2.587848E-04,1.86035E+00
-2.587816E-04,1.80176E+00
-2.587784E-04,1.81152E+00
-2.587752E-04,1.80176E+00
-2.587720E-04,1.83105E+00
-2.587688E-04,1.81152E+00
-2.587656E-04,1.82129E+00
-2.587624E-04,1.84082E+00
-2.587592E-04,1.82129E+00
-2.587560E-04,1.83105E+00
-2.587528E-04,1.82129E+00
-2.587496E-04,1.82129E+00
-2.587464E-04,1.83105E+00
-2.587432E-04,1.84082E+00
-2.587400E-04,1.82129E+00
-2.587368E-04,1.86035E+00
-2.587336E-04,1.84082E+00
-2.587304E-04,1.83105E+00
-2.587272E-04,1.82129E+00
-2.587240E-04,1.82129E+00
-2.587208E-04,1.82129E+00
-2.587176E-04,1.83105E+00
-2.587144E-04,1.82129E+00
-2.587112E-04,1.80176E+00
-2.587080E-04,1.83105E+00
-2.587048E-04,1.80176E+00
